english,greek,attribute
adult female,ενήλικη,feminine
adult male,ενήλικος,masculine
afternoon,απόγευμα,neuter
age,ηλικία,feminine
air,αέρας,masculine
airplane,αεροπλάνο,neuter
airport,αεροδρόμιο,neuter
alarm clock,ξυπνητήρι,neuter
alcohol,αλκοόλ,neuter
animal,ζώο,neuter
ankle,αστράγαλος,masculine
ant,μυρμήγκι,neuter
ape,πίθηκος,masculine
appartment,διαμέρισμα,neuter
apple,μήλο,neuter
armchair,πολυθρόνα,feminine
attic,σοφίτα,feminine
aunt,θεία,feminine
autumn,φθινόπωρο,neuter
avocado ,αβοκάντο,neuter
baby,μωρό,neuter
back of body,πλάτη,feminine
backpack,σακίδιο,neuter
"bag, handbag",τσάντα,feminine
banana ,μπανάνα,feminine
bank,τράπεζα,feminine
"basement, cellar ",υπόγειο,neuter
bat,νυχτερίδα,feminine
bathroom ,τουαλέτα,feminine
"beach, coast, shore",παραλία,feminine
bean,φασόλι,neuter
bear,αρκούδα,feminine
bed,κρεβάτι,neuter
bed sheet,σεντόνι,neuter
bedroom,υπνοδωμάτιο,neuter
bee,μέλισσα,feminine
beer,μπύρα,feminine
"bell, church bell",καμπάνα,feminine
belt,ζώνη,feminine
berry,μούρο,neuter
best man,κουμπάρος,masculine
best woman,κουμπάρα,feminine
bike,ποδήλατο,neuter
"bill, check, account",λογαριασμός,masculine
bird,πουλί,neuter
blackberry,μπατόμουρο,neuter
blanket,κουβέρτα,feminine
blouse,μπλούζα,feminine
body,σώμα,neuter
bone,κόκκαλο,neuter
book,βιβλίο,neuter
boot,μπότα,feminine
bowl,μπολ,neuter
box,κουτί,neuter
boy,αγόρι,neuter
bread,ψωμί,neuter
breakfast,πρωινό,neuter
brick,τούβλο,neuter
bridge,γέφυρα,feminine
broccoli ,μπρόκολο,neuter
"broom, vacuum cleaner",σκούπα,feminine
brother,αδελφός,masculine
brush,βούρτσα,feminine
bucket,κουβάς,masculine
bull,ταύρος,masculine
bus,λεωφορείο,neuter
bus station,σταθμός λεωφορείων,masculine
"bush, shrub",θάμνος,masculine
butter,βούτυρο,neuter
butterfly,πεταλούδα,feminine
button,κουμπί,neuter
cabbage,λάχανο,neuter
cake,τούρτα,feminine
"canal, channel",κανάλι,neuter
"cap, beanie",σκουφί,neuter
car,αμάξι,neuter
card,κάρτα,feminine
carrot,καρότο,neuter
"cart, wagon",κάρο,neuter
cat,γάτα,feminine
cave,σπηλιά,feminine
ceiling ,ταβάνι,neuter
"center, centre",κέντρο,neuter
chain,αλυσίδα,feminine
chair,καρέκλα,feminine
cheek,μάγουλο,neuter
cheese,τυρί,neuter
cherry,κεράσι,neuter
child,παιδί,neuter
chin,σαγόνι,neuter
chocolate,σοκολάτα,feminine
cinema,σινεμά,neuter
city,πόλη,feminine
class,τάξη,feminine
cleaning,καθάρισμα,neuter
clinic,ιατρείο,neuter
closet,ντουλάπα,feminine
cloud,σύννεφο,neuter
coat,παλτό,neuter
coffee,καφές,masculine
colour,χρώμα,neuter
computer,υπολογιστής,masculine
"couch, sofa",καναπές,masculine
country,χώρα,feminine
cow,αγελάδα,feminine
cucumber ,αγγούρι,neuter
curtain,κουρτίνα,feminine
dad,μπαμπάς,masculine
daughter,κόρη,feminine
depth,βάθος,neuter
desk,θρανίο,neuter
dining room ,τραπεζαρία,feminine
dinner,δείπνο,neuter
"dish, plate",πιάτο,neuter
doctor,γιατρός,invariable
dog,σκύλος,masculine
donkey,γάιδαρος,masculine
door,πόρτα,feminine
drain,σιφώνι,neuter
drawer,συρτάρι,neuter
dress,φόρεμα,neuter
drink,ποτό,neuter
drinking straw,καλαμάκι,neuter
eagle,αετός,masculine
ear,αυτί,neuter
elbow,αγκώνας,masculine
eraser,σβήστρα,feminine
evening,βράδυ,neuter
eye,μάτι,neuter
eyebrow,φρύδι,neuter
eyelash,βλεφαρίδα,feminine
eyelid,βλέφαρο,neuter
"face, character",πρόσωπο,neuter
factory,εργοστάσιο,neuter
family,οικογένεια,feminine
father,πατέρας,masculine
father-in-law,πεθερός,masculine
faucet,βρύση,feminine
February,Φεβρουάριος,masculine
female cousin,ξαδέλφη,feminine
female in-law ,συμπεθέρα,feminine
female student,μαθήτρια,feminine
female teacher ,δασκάλα,feminine
ferry,πορθμείο,neuter
"finger, toe",δάχτυλο,neuter
"fingernail, toenail",νύχι,neuter
fire station,πυροσβεστικός σταθμός,masculine
fish,ψάρι,neuter
flip-flop,σαγιονάρα,feminine
floor of a room,πάτωμα,neuter
flower,λουλούδι,neuter
"fog, mist",ομίχλη,feminine
food,φαγητό,neuter
"forehead, brow; battlefront",μέτωπο,neuter
forest,δάσος,masculine
fork,πιρούνι,neuter
freezer,κατάψυξη,feminine
friday,παρασκευή,feminine
friend,φίλη,feminine
"friend; boyfriend, girlfriend",φίλος,masculine
garden,κήπος,masculine
garlic,σκόρδο,neuter
girl; girlfriend,κοπέλα,feminine
"glass, drinking glass",ποτήρι,neuter
glasses,γυαλιά,feminine
glove,γάντι,neuter
glue,κόλλα,feminine
granddaughter,εγγονή,feminine
grandfather,παππούς,masculine
grandmother,γιαγιά,feminine
grandson,εγγονός,masculine
grape,σταφύλι,neuter
grass,γρασίδι,neuter
grocery store,παντοπωλείο,neuter
"gum, rubber",γόμα,feminine
hair (single stran),μαλλί,neuter
"hall, auditorium; classroom",αίθουσα,feminine
hallway ,διάδρομος,masculine
hand arm,χέρι,neuter
hat,καπέλο,neuter
head,κεφάλι,neuter
headphones,ακουστικά,neuter
heater,σόμαπα,feminine
heavy jacket,μπουφάν,neuter
heel of foot,φτέρνα,feminine
heel of shoe,τακούνι,neuter
"hen; wimp, chicken",κότα,feminine
hill,λόφος,masculine
honey,μέλι,neuter
horse,άλογο,neuter
hospital,νοσοκομείο,neuter
hotel,ξενοδοχείο,neuter
house,σπίτι,neuter
ice,πάγος,masculine
ice cream,παγωτό,neuter
ice cube,παγάκι,neuter
India,Ινδία,feminine
injection,ένεση,feminine
intelligence,ευφυΐα,feminine
jacket,ζακέτα,feminine
key,κλειδί,neuter
kitchen,κουζίνα,feminine
kitchen sink,νεροχύτης,masculine
kiwi ,ακτινίδιο,neuter
knee,γόνατο,neuter
knife,μαχαίρι,neuter
lake,λίμνη,feminine
lamb,αρνί,neuter
lamp; light bulb,λάμπα,feminine
language; tongue,γλώσσα,feminine
large cup ,κούπα,feminine
"lavatory, toilet",τουαλέτα,feminine
"leg, foot",πόδι,neuter
lemon,λεμόνι,neuter
letter,γράμμα,neuter
lettuce ,μαρούλι,neuter
library,βιβλιοθήκη,feminine
life,ζωή,feminine
lion,λιοντάρι,neuter
lip,χείλι,neuter
living room ,καθιστικό,neuter
lunch,μεσημεριανό,neuter
magazine,περιοδικό,neuter
male cousin,ξάδελφος,masculine
male in-law,συμπέθερος,masculine
male student ,μαθητής,masculine
male teacher,δάσκαλος,masculine
man; husband,άντρας,masculine
mango,μάνγκο,neuter
map,χάρτης,masculine
marker,μαρκαδόρος,masculine
"mattress; layer, stratum",στρώμα,neuter
meal; lunch,γεύμα,neuter
measuring cup,δοσομετρητής,masculine
meat,κρέας,masculine
meds,φάρμακα,neuter
menu,μενού,neuter
midday,μεσημέρι,neuter
middle,μέση,feminine
midnight,μεσάνυχτα,neuter
milk,γάλα,neuter
mind,μυαλό,neuter
mint,μέντα,feminine
minute,λεπτό,neuter
mirror,καθρέφτης,masculine
Miss,δεσποινίς,feminine
mom,μαμά,feminine
monday,δευτέρα,feminine
money,λεφτά,neuter
"moneybox, piggy bank",κουμπαράς,masculine
month,μήνας,masculine
moon,φεγγάρι,neuter
morning,πρωί,neuter
mosquito,κουνούπι,neuter
moter car,αυτοκίνητο,neuter
mother,μητέρα,feminine
mother-in-law,πεθερά,feminine
mountain,βουνό,neuter
mouse,ποντίκι,neuter
mouth,στόμα,neuter
Mr,κύριος,masculine
Mrs,κύρια,feminine
mythology,μυθολογία,feminine
name,όνομα,neuter
"nap, snooze",υπνάκος,masculine
"neck, throat",λαιμός,masculine
nephew,ανιψιός,masculine
newspaper,εφημερίδα,feminine
niece,ανιψιά,feminine
night,νύχτα,feminine
nightgown,νυχτικό,neuter
nightstand,κομοδίνο,neuter
nose,μύτη,feminine
notebook,τετράδιο,neuter
object,αντικείμενο,neuter
olive,ελιά,feminine
onion ,κρεμμύδι,neuter
orange,πορτοκάλι,neuter
oven,φούρνος,masculine
owl,κουκουβάγια,feminine
"painting; table, chart, diagram",πίνακας,masculine
pan,τηγάνι,neuter
pants,παντελόνι,neuter
"paper, material, document",χαρτί,neuter
parent,γονιός,masculine
park,πάρκο,neuter
passport ,διαβατήριο,neuter
"path, footpath, trail",μονοπάτι,neuter
pen,στυλό,neuter
pencil,μολύβι,neuter
pencil case,κασετίνα,feminine
pepper,πιπέρι,neuter
perscription,συνταγή,feminine
person,άνθρωπος,masculine
pet,κατοικίδιο,neuter
pharmacy,φαρμακείο,neuter
pig,γουρούνι,neuter
pill,χάπι,neuter
pillow,μαξιλάρι,neuter
pineapple ,ανανάς,masculine
planet,πλανήτης,masculine
plant,φυτό,neuter
pocket,τσέπη,feminine
Poland,Πολωνία,feminine
police station,αστυνομικό τμήμα,neuter
"port, harbour",λιμάνι,neuter
post office,ταχυδρομείο,neuter
postage stamp,γραμματόσημο,neuter
potato ,πατάτα,feminine
pyjama,πιτζάμα,feminine
rabbit,κουνέλι,neuter
razor,ξυράφι,neuter
reading lamp,πορτατίφ,masculine
refrigerator,ψυγείο,neuter
remembrance,ανάμνηση ,feminine
reptile,ερπετό,neuter
revelation; apocalypse,αποκάλυψη,feminine
"riches, wealth",πλούτη,neuter
river,ποτάμι,neuter
road; way; journey,δρόμος,masculine
"robe, gown",ρόμπα,feminine
rock,βράχος,masculine
"rug, carpet",χαλί,neuter
ruler,χάρακας,masculine
sandal,πέδιλο,neuter
saturday,σάββατο,neuter
"saucepan, pot",κατσαρόλα,feminine
scarf,κασκόλ,neuter
school,σχολείο,neuter
scissor,ψαλίδι,neuter
sharpener,ξύστρα,feminine
ship,πλοίο,neuter
shirt,πουκάμισο,neuter
shoe,παπούτσι,neuter
shorts,σορτς,neuter
shoulder,ώμος,masculine
shower,ντους,neuter
singlet,φανέλα,feminine
sister,αδελφή,feminine
skirt,φούστα,feminine
sky,ουρανός,masculine
sleep,ύπνος,masculine
sleeve,μανίκι,neuter
slipper,παντόφλα,feminine
small cup ,φλιτζάνι,neuter
"sneakers, athletic shoes",αθλητικά παπούτσια,neuter
soap,σαπούνι,neuter
sock,κάλτσα,feminine
son,γιός,masculine
south,νότος,masculine
spatula,σπάτουλα,feminine
spinach ,σπανάκι,neuter
sponge,σφουγγάρι,neuter
spoon,κουτάλι,neuter
"spouse (husband, wife)",σύζυγος,invariable
star,αστέρι,neuter
"stocking, tights",καλτσόν,neuter
stomach (organ),στομάχι,neuter
"stomach, belly, tummy",κοιλιά,feminine
strawberry ,φράουλα,feminine
stupidity,βλακεία,feminine
"suit jacket, blazer",σακάκι,neuter
sun,ήλιος,masculine
sunday,κυριακή,feminine
survival,επιβίωση,feminine
sweater,πουλόβερ,neuter
swimsuit,μαγιό,neuter
syrup,σιρόπι,neuter
t-shirt,κοντομάνικο,neuter
table,τραπέζι,neuter
tea,τσάι,neuter
teeth,δόντι,neuter
television,τηλεόραση,feminine
thing,πράγμα,neuter
thursday,πέμπτη,feminine
tomato ,ντομάτα,feminine
toothbrush,οδοντόβουρτσα,feminine
toothpaste,οδοντόκρεμα,feminine
towel,πετσέτα,feminine
town square,πλατεία,feminine
toy,παιχνίδι,neuter
train,τρένο,neuter
train station,σιδηροδρομικός σταθμός,masculine
tree,δέντρο,neuter
"truck, van",φορτηγό,neuter
tuesday,τρίτη,feminine
turkey,γαλοπούλα,feminine
umbrella,ομπρέλα,feminine
uncle,θείος,masculine
university,πανεπιστήμιο,neuter
use,χρήση,feminine
vase; jar,βάζο,neuter
wait,αναμονή,feminine
wall,τείχος,masculine
"wallet, purse",πορτοφόλι,neuter
water,νερό,neuter
waterfall,καταράχτης,masculine
watermelon ,καρπούζι,neuter
wave,κύμα,neuter
weakness,αδυναμία,feminine
weather,καιρός,masculine
wednesday,τετάρτη,feminine
week,εβδομάδα,feminine
weekend,σαββατοκύριακο,neuter
well,πηγάδι,neuter
wheel,ρόδα,feminine
"whisk, wire",σύρμα,neuter
wind,άνεμος,masculine
window,παράθυρο,neuter
wine,κρασί,neuter
wolf,λύκος,masculine
woman,γυναίκα,feminine
word,λέξη,feminine
yard,αυλή,feminine
young girl,κορίτσι,neuter